player,map,category,time,proof,date,tag
"Arcie","Enchanted Forest","R15 Skipless","26.5","https://youtu.be/yNmnoms5dDc","43822", ""
"Arne","River of Ice","Skipless IGT","12.8","https://media.discordapp.net/attachments/585481591074062336/714516945260773376/unknown.png?ex=68997302&is=68982182&hm=fad0c5c129771ebfbde575f29e92989bff18ba883c73d9b4f4ac551bd5fcaf17&=&format=webp&quality=lossless","May 25, 2020",""
"Arne","River of Ice","R15 Skipless","12.8","https://media.discordapp.net/attachments/585481591074062336/714516945260773376/unknown.png?ex=68997302&is=68982182&hm=fad0c5c129771ebfbde575f29e92989bff18ba883c73d9b4f4ac551bd5fcaf17&=&format=webp&quality=lossless","May 25, 2020",""
"Matthew","Laser Tag","R15 Skipless","22.8","https://www.youtube.com/watch?v=F55WLrhOfKY","July 13, 2020",""
"Matthew","Fuyu Village","R15 Skipless","19.7","https://www.youtube.com/watch?v=yjV2MOa3jiU","July 25, 2020",""
"Senna","Fuyu Village","R15 Skipless","19.7","https://media.discordapp.net/attachments/585481591074062336/737840577579712592/unknown.png?ex=68d7e356&is=68d691d6&hm=488dac57b22534b89efebcb88cb19569f7861a6b7541ea1077d947a92277b0d3&=&format=webp&quality=lossless&width=2162&height=1216","July 28, 2020",""
"Senna","Snowy Slopes","R15 Skipless","35.9","https://media.discordapp.net/attachments/585481591074062336/738185338396213280/unknown.png?ex=68d7d2eb&is=68d6816b&hm=d0f45f6fc7934a06aca12e41ade9db79d48f19795457027d6070ffe0715d5e97&=&format=webp&quality=lossless&width=2162&height=1216","July 29, 2020",""
"Matthew","Northern Cliffs","R15 Skipless","13.3","https://media.discordapp.net/attachments/585481591074062336/739946988644204614/unknown.png?ex=68d7a415&is=68d65295&hm=ba2374a911cf28040dedc541ebc967a64555abce30441bb05b1a182307af52ed&=&format=webp&quality=lossless","August 3, 2020",""
"Arcie","Magma Cavern","Skipless EGT","36.95","https://www.youtube.com/watch?v=xhDZnuPjkhU","44046",""
"Arcie","Ravine","Skipless IGT","16.6","https://youtu.be/9avrvlld3Ug","44047",""
"Arcie","Ravine","Skipless EGT","16.433","https://www.youtube.com/watch?v=9avrvlld3Ug","44047",""
"Arcie","Heist","Skipless IGT","27.3","https://youtu.be/LgQQP8XxObw","44055",""
"Arcie","Heist","Skipless EGT","27.117","https://youtu.be/LgQQP8XxObw","44055",""
"Senna","Northern Cliffs","R15 Skipless","13.3","https://media.discordapp.net/attachments/585481591074062336/754738145056260166/Screenshot_1107.png?ex=68d80eac&is=68d6bd2c&hm=12ed48cdd75ebd571683e495d00e01adea6d00d93c21cc8b0a2f4e9162b792e0&=&format=webp&quality=lossless&width=2162&height=1216","September 13, 2020",""
"Arcie","Heights","Skipless IGT","17.1","https://youtu.be/axMcWO6HrWo","44110",""
"Arcie","Pastel Valley","Skipless IGT","26.2","https://www.youtube.com/watch?v=WOfokp0clq8&feature=youtu.be","44122",""
"Cinnamon","River of Ice","Skipless IGT","12.8","https://media.discordapp.net/attachments/585481591074062336/779816443939520552/RobloxScreenShot20201121_155812015_2.png?ex=6899b3e8&is=68986268&hm=83a248789eb1a62c4658dcdbf9cbf712e0fc3b758de0c892ed1fc913585dcda5&=&format=webp&quality=lossless&width=459&height=350","November 21, 2020",""
"Cinnamon","River of Ice","R15 Skipless","12.8","https://media.discordapp.net/attachments/585481591074062336/779816443939520552/RobloxScreenShot20201121_155812015_2.png?ex=6899b3e8&is=68986268&hm=83a248789eb1a62c4658dcdbf9cbf712e0fc3b758de0c892ed1fc913585dcda5&=&format=webp&quality=lossless&width=459&height=350","November 21, 2020",""
"Arcie","Island Route","Skipless EGT","33.067","https://youtu.be/41OzX5OEM9o","44200",""
"Arcie","Ancient Tomb","Skipless EGT","34.067","https://youtu.be/nIpOp7vAEHM","44224",""
"Arcie","Ancient Tomb","Skipless IGT","34.3","https://www.youtube.com/watch?v=nIpOp7vAEHM","44317",""
"Boostbomb","Floatroads","Skipless IGT","26.1","https://youtu.be/1hvm6x2H9iI","May 26, 2021",""
"Boostbomb","Floatroads","Skipless EGT","26.117","https://www.youtube.com/watch?v=1hvm6x2H9iI","May 27, 2021",""
"Nugglei","River of Ice","Skipless IGT","12.8","https://youtu.be/TyrUhBYaH54","July 11, 2021",""
"Arcie","Mystic Alps","Skip IGT","25.6","https://youtu.be/Uh87NT_yebk","44422",""
"Arcie","Mystic Alps","Skip EGT","25.35","https://www.youtube.com/watch?v=Uh87NT_yebk","August 14, 2021",""
"Ob","River of Ice","Skipless IGT","12.8","https://www.youtube.com/watch?v=TYpvm4opXvM","August 29, 2021",""
"Skele","River of Ice","Skipless IGT","12.8","https://media.discordapp.net/attachments/585481591074062336/883572685186158612/unknown.png?ex=689974b0&is=68982330&hm=1e0cef1a706f2142d0f3fd2a2558d8f64f537f03f8df02e99d10905afc8ed97b&=&format=webp&quality=lossless","September 3, 2021",""
"Boostbomb","River of Ice","Skipless IGT","12.8","https://youtu.be/sETYJT75ggY","September 3, 2021",""
